Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2026-03-02 17:20:00+00:00,69447.1953125,69456.90625,69307.09375,69307.09375,233390080
2026-03-02 17:25:00+00:00,69371.46875,69428.765625,69346.296875,69428.765625,0
2026-03-02 17:30:00+00:00,69321.1328125,69431.8203125,69321.1328125,69415.0390625,128864256
2026-03-02 17:35:00+00:00,69157.828125,69423.7265625,69157.828125,69318.53125,62058496
2026-03-02 17:40:00+00:00,68874.625,69200.3984375,68874.625,69128.8359375,0
2026-03-02 17:45:00+00:00,68945.09375,69004.4609375,68857.4453125,68857.4453125,273076224
2026-03-02 17:50:00+00:00,69071.0234375,69072.46875,68951.2265625,68981.7890625,74395648
2026-03-02 17:55:00+00:00,69117.0234375,69190.3984375,69078.3203125,69190.3984375,225230848
2026-03-02 18:00:00+00:00,68829.765625,69182.984375,68829.765625,69182.984375,0
2026-03-02 18:05:00+00:00,69026.0,69066.984375,68906.890625,68906.890625,193212416
2026-03-02 18:10:00+00:00,69094.3046875,69094.3046875,68988.75,69024.3984375,0
2026-03-02 18:15:00+00:00,69055.0234375,69175.2265625,69055.0234375,69175.2265625,68526080
2026-03-02 18:20:00+00:00,69022.5078125,69058.859375,69022.5078125,69029.6875,192626688
2026-03-02 18:25:00+00:00,69171.328125,69176.125,69069.546875,69069.546875,53452800
2026-03-02 18:30:00+00:00,69227.859375,69227.859375,69072.6484375,69100.9765625,0
2026-03-02 18:35:00+00:00,69085.828125,69192.40625,69085.828125,69151.953125,38780928
2026-03-02 18:40:00+00:00,69105.53125,69105.53125,68986.6796875,69054.21875,0
2026-03-02 18:45:00+00:00,69140.4921875,69151.6328125,69090.3359375,69090.3359375,136716288
2026-03-02 18:50:00+00:00,68991.9609375,69135.015625,68991.9609375,69135.015625,346886144
2026-03-02 18:55:00+00:00,68984.875,69057.8203125,68984.875,69057.8203125,59494400
2026-03-02 19:00:00+00:00,68809.9453125,68919.84375,68809.9453125,68891.8046875,76836864
2026-03-02 19:05:00+00:00,68746.9296875,68870.2734375,68741.65625,68870.2734375,207065088
2026-03-02 19:10:00+00:00,68711.53125,68769.453125,68620.5,68769.453125,103796736
2026-03-02 19:15:00+00:00,68827.625,68894.0546875,68751.0,68751.0,0
2026-03-02 19:20:00+00:00,68947.7421875,68947.7421875,68849.765625,68880.15625,81784832
2026-03-02 19:25:00+00:00,68829.1328125,68893.3671875,68829.1328125,68893.3671875,329920512
2026-03-02 19:30:00+00:00,68928.28125,68928.28125,68785.90625,68834.5546875,99827712
2026-03-02 19:35:00+00:00,68980.703125,69030.9140625,68917.2421875,68917.2421875,48226304
2026-03-02 19:40:00+00:00,68852.1484375,68942.2578125,68846.7109375,68942.2578125,97337344
2026-03-02 19:45:00+00:00,68897.796875,68897.796875,68787.125,68801.953125,0
2026-03-02 19:50:00+00:00,68921.5078125,68977.3203125,68893.546875,68917.9296875,97734656
2026-03-02 19:55:00+00:00,68949.6328125,68964.328125,68929.859375,68964.328125,65925120
2026-03-02 20:00:00+00:00,69186.7734375,69186.7734375,68953.2734375,68963.578125,0
2026-03-02 20:05:00+00:00,68878.578125,69162.6171875,68878.578125,69162.6171875,135258112
2026-03-02 20:10:00+00:00,68711.7265625,68882.8515625,68676.7734375,68882.8515625,0
2026-03-02 20:15:00+00:00,68946.765625,68946.765625,68741.4453125,68741.4453125,254533632
2026-03-02 20:20:00+00:00,68928.3046875,68928.3046875,68867.8359375,68899.9609375,25202688
2026-03-02 20:25:00+00:00,69047.515625,69047.515625,68940.265625,68996.2734375,0
2026-03-02 20:30:00+00:00,69086.0390625,69086.0390625,69003.0703125,69009.609375,0
2026-03-02 20:35:00+00:00,69164.5078125,69164.5078125,69096.0,69125.2109375,34340864
2026-03-02 20:40:00+00:00,69200.53125,69200.53125,69082.328125,69116.515625,190468096
2026-03-02 20:45:00+00:00,69361.53125,69411.953125,69232.8828125,69232.8828125,0
2026-03-02 20:50:00+00:00,69382.390625,69450.2265625,69382.390625,69404.4453125,79163392
2026-03-02 20:55:00+00:00,69291.546875,69365.265625,69291.546875,69365.265625,123482112
2026-03-02 21:00:00+00:00,69086.7890625,69171.9765625,69052.0859375,69171.9765625,40271872
2026-03-02 21:05:00+00:00,69231.78125,69233.8125,69071.9765625,69071.9765625,20729856
2026-03-02 21:10:00+00:00,69189.3671875,69214.390625,69139.6015625,69214.390625,146206720
2026-03-02 21:15:00+00:00,69274.546875,69304.671875,69258.7578125,69304.671875,0
2026-03-02 21:20:00+00:00,69349.9609375,69349.9609375,69218.3515625,69248.015625,136548352
